ts_code,trade_date,open,high,low,close,vol,amount
000300.SH,20240117,3291.1392,3291.1392,3229.082,3229.082,108769728.0,173516385.1747
000300.SH,20240118,3214.2844,3279.2538,3171.6329,3274.7286,174909168.0,256784536.828
000300.SH,20240119,3261.2393,3286.9415,3251.8136,3269.7763,118501408.0,191261807.0988
000300.SH,20240122,3262.4685,3281.4205,3193.1776,3218.9016,148705628.0,225510031.8443
000300.SH,20240123,3208.4316,3249.5306,3188.1259,3231.9329,122012000.0,193791168.6242
000300.SH,20240124,3245.9592,3281.4892,3190.4674,3277.1089,154371954.0,219036341.6245
000300.SH,20240125,3274.3391,3344.2426,3269.7943,3342.9189,196833614.0,265521114.9543
000300.SH,20240126,3326.6465,3351.9692,3315.1265,3333.8213,180664005.0,238144899.501
000300.SH,20240129,3335.3936,3351.3715,3303.9604,3303.9604,184164795.0,244698013.5933
000300.SH,20240130,3283.8977,3300.204,3244.9719,3245.0387,143649350.0,199592929.9117
000300.SH,20240131,3231.5425,3252.1475,3201.9264,3215.3518,153143469.0,215333349.9212
000300.SH,20240201,3202.2564,3251.7582,3191.8968,3217.7109,145516792.0,203815063.2325
000300.SH,20240202,3219.8734,3235.4079,3108.3515,3179.6276,173758089.0,234495151.557
000300.SH,20240205,3164.25,3233.8485,3111.5184,3200.4218,203042970.0,279713141.5072
000300.SH,20240206,3185.2498,3314.512,3182.8216,3311.6922,202713099.0,285042020.9459
000300.SH,20240207,3314.0306,3343.6303,3289.6704,3343.6303,216647933.0,297997664.5752
000300.SH,20240208,3351.4052,3367.2101,3336.9779,3364.9297,189977578.0,270239765.211
000300.SH,20240219,3393.1916,3403.8078,3364.1418,3403.8078,183319800.0,267674145.1473
000300.SH,20240220,3395.1916,3415.8943,3380.103,3410.8542,140734581.0,218459281.946
000300.SH,20240221,3390.3619,3500.1338,3383.6911,3456.8713,188879362.0,291823544.6082
000300.SH,20240222,3450.3518,3486.6826,3448.4135,3486.6747,141020784.0,225098128.8727
000300.SH,20240223,3491.3367,3507.5592,3472.968,3489.7416,144821273.0,232926057.1139
000300.SH,20240226,3485.5427,3492.6061,3445.3889,3453.3585,151248331.0,238951637.715
000300.SH,20240227,3440.0516,3494.7874,3437.4422,3494.7874,139528246.0,244488721.2508
000300.SH,20240228,3499.8257,3521.6574,3450.2598,3450.2598,189837548.0,328300591.2564
000300.SH,20240229,3437.8984,3516.0826,3437.8984,3516.0826,155944532.0,281971899.2882
000300.SH,20240301,3515.0587,3544.3595,3503.459,3537.8038,162709570.0,288575619.2245
000300.SH,20240304,3538.366,3548.6901,3519.7599,3540.8686,163244613.0,297719931.8093
000300.SH,20240305,3524.9644,3570.6935,3519.0816,3565.5143,166422389.0,299895929.7091
000300.SH,20240306,3556.5323,3577.3883,3545.1013,3551.0481,143076613.0,248294165.7074
000300.SH,20240307,3548.1007,3569.9185,3522.8964,3529.7195,148110510.0,251839533.0361
000300.SH,20240308,3529.5509,3548.5055,3511.577,3544.9099,125792664.0,225379101.014
000300.SH,20240311,3545.9427,3589.2635,3542.2789,3589.2635,148202825.0,286418582.1546
000300.SH,20240312,3592.5826,3605.6976,3574.2117,3597.4939,180685560.0,339997042.3371
000300.SH,20240313,3594.4211,3594.4211,3563.3685,3572.361,144590590.0,266898756.3798
000300.SH,20240314,3571.7885,3597.46,3545.612,3562.2229,140962722.0,263803609.3352
000300.SH,20240315,3554.9068,3572.8091,3533.6798,3569.993,138316044.0,243991558.3662
000300.SH,20240318,3577.0564,3604.0519,3573.404,3603.528,160379438.0,295314840.611
000300.SH,20240319,3593.3396,3610.7389,3577.188,3577.6303,145571786.0,259553448.4134
000300.SH,20240320,3568.7158,3589.5456,3568.4341,3585.3838,129528966.0,223752103.8862
000300.SH,20240321,3593.07,3601.1145,3575.0331,3581.0902,130743377.0,233162492.6296
000300.SH,20240322,3571.2736,3575.7171,3522.8404,3545.0023,139227358.0,248850931.0222
000300.SH,20240325,3536.7136,3564.9604,3525.7634,3525.7634,137015724.0,233747256.2351
000300.SH,20240326,3526.6818,3547.6461,3518.6018,3543.7467,126209535.0,226730734.8441
000300.SH,20240327,3538.7244,3542.9624,3502.7866,3502.7866,128626763.0,216404726.5659
000300.SH,20240328,3498.482,3551.2143,3489.3861,3520.9648,143334717.0,232530806.3345
000300.SH,20240329,3516.883,3538.2378,3516.883,3537.4843,128643290.0,201749384.3567
000300.SH,20240401,3551.5815,3600.9193,3551.5815,3595.6466,162776561.0,251637272.8451
